,DateTime,Close
0,2021-03-17 21:15:00,1.19803
1,2021-03-17 22:00:00,1.19784
2,2021-03-17 23:00:00,1.19827
3,2021-03-18 00:00:00,1.19854
4,2021-03-18 01:00:00,1.19692
5,2021-03-18 02:00:00,1.19708
6,2021-03-18 03:00:00,1.19591
7,2021-03-18 04:00:00,1.19613
8,2021-03-18 05:00:00,1.19647
9,2021-03-18 06:00:00,1.19794
10,2021-03-18 07:00:00,1.19474
11,2021-03-18 08:00:00,1.19474
12,2021-03-18 09:00:00,1.19421
13,2021-03-18 10:00:00,1.19399
14,2021-03-18 11:00:00,1.19411
15,2021-03-18 12:00:00,1.19282
16,2021-03-18 13:00:00,1.19166
17,2021-03-18 14:00:00,1.19199
18,2021-03-18 15:00:00,1.19261
19,2021-03-18 16:00:00,1.19205
20,2021-03-18 17:00:00,1.19293
21,2021-03-18 18:00:00,1.19133
22,2021-03-18 19:00:00,1.19102
23,2021-03-18 20:00:00,1.19158
24,2021-03-18 21:15:00,1.19139
25,2021-03-18 22:00:00,1.19171
26,2021-03-18 23:00:00,1.19175
27,2021-03-19 00:00:00,1.19073
28,2021-03-19 01:00:00,1.19098
29,2021-03-19 02:00:00,1.19089
30,2021-03-19 03:00:00,1.19143
31,2021-03-19 04:00:00,1.19196
